Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	Type	Pol
2003-Corajoud_CE_Oct23.xml	151	serait de maintenir ou d’attirer, entre ces murs, des activités de type horticole ou agricole	je pensais qu’un bon moyen de prolonger l’histoire de ce territoire	axiol	
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	aisément	axiol	pos
2003-Corajoud_CE_Oct23.xml	155	cette dynamique	nous proposions d’instaurer	axiol	
2003-Corajoud_CE_Oct23.xml	155	des configurations rurales anciennes sauvées			
2003-Corajoud_CE_Oct23.xml	155	des configurations urbaines futures			
2003-Corajoud_CE_Oct23.xml	156	protection pour la meilleure partie des murs	une stricte mesure	axiol	
2003-Corajoud_CE_Oct23.xml	156	la sauvegarde	l’indigence des moyens de l’État	axiol	
2003-Corajoud_CE_Oct23.xml	160	doit être immergé	doit	autre	
2003-Corajoud_CE_Oct23.xml	164	devait, à son tour, restaurer et gérer un maillage d’« allées-jardins »	devait, à son tour	autre	
2003-Corajoud_CE_Oct23.xml	171	toute forme nouvelle d’aménagement	Nous pensions donc	axiol	
2003-Corajoud_CE_Oct23.xml	193	Urbaniser la Plaine	une entreprise facile	axiol	
2003-Corajoud_CE_Oct23.xml	194	libres tracés des infrastructures	aucune résistance	axiol	
2003-Corajoud_CE_Oct23.xml	194	la juxtaposition des emprises et des constructions	aucune résistance	axiol	
2003-Corajoud_CE_Oct23.xml	195	a occupé les rives	sans restriction	axiol	
2003-Corajoud_CE_Oct23.xml	203	la renaissance de la Plaine	Nous sommes persuadés	axiol	
2003-Corajoud_CE_Oct23.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes	plaqué	axiol	neg
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	éventrée	axiol	neg
2003-Corajoud_CE_Oct23.xml	234	est alors coupée en deux	dévastée par le bruit et la pollution	axiol	neg
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	veut	boul	
2003-Corajoud_CE_Oct23.xml	236	soit couverte	exigent, avant toute négociation	axiol	
2003-Corajoud_CE_Oct23.xml	238	La requalification de l’avenue	joue un rôle décisif	axiol	
2003-Corajoud_CE_Oct23.xml	238	le projet urbain de toute la Plaine			
2003-Corajoud_CE_Oct23.xml	246	avaient plaqué des plans masse absurdes	plaqué	axiol	neg
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	l’un des plus accomplis de nos derniers projets	axiol	pos
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin	voulions	boul	
2003-Corajoud_CE_Oct23.xml	259	son mode de gestion: la tonte fréquente	Un facteur essentiel d’étonnement	axiol	
2003-Corajoud_CE_Oct23.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	je n’ai pas suffisamment de recul pour faire le bilan de ce travail	axiol	
2003-Corajoud_CE_Oct23.xml	279	jardiner les quais	avons nous choisi	axiol	
2003-Corajoud_CE_Oct23.xml	279	aménager cet espace public			
2003-Corajoud_CE_Oct23.xml	289	peut, à mon sens, polariser, orienter, ordonner, et finalement qualifier les fragments épars de la ville moderne	à mon sens	axiol	
2003-Corajoud_CE_Oct23.xml	290	accueillir une forme urbaine	aptes	axiol	
2003-Corajoud_CE_Oct23.xml	309	veut-on faire de lui	veut	autre	
2003-Corajoud_CE_Oct23.xml	311	doit-on le transformer	doit-on	autre	
2003-Corajoud_CE_Oct23.xml	362	La préservation de l’espace ouvert	est une valeur à défendre	axiol	pos
2003-Corajoud_CE_Oct23.xml	362	l’encombrement systématique de l’espace	il est important de s’opposer	axiol	pos
2003-Corajoud_CE_Oct23.xml	363	vouloir tout tenir, tout construire, tout recomposer	vouloir	boul	
2003-Corajoud_CE_Oct23.xml	371	la transformation et l’amélioration des lieux	l’amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	14	l’obsolescence accélérée d’un bâtiment mal conçu			
2022-Boutté_CE_Oct23.xml	14	un bâtiment mal conçu	mal	axiol	neg
2022-Boutté_CE_Oct23.xml	37	chaque bâtiment neuf			
2022-Boutté_CE_Oct23.xml	37	doit s’équiper d’un dispositif de production	doit	autre	
2022-Boutté_CE_Oct23.xml	40	réaliser des opérations réussies	réussies	axiol	pos
2022-Boutté_CE_Oct23.xml	43	la transition des territoires	peuvent concrètement contribuer	autre	
2022-Boutté_CE_Oct23.xml	56	densifier certains territoires	est vertueux	axiol	pos
2022-Boutté_CE_Oct23.xml	57	leur projet	dégradent	axiol	neg
2022-Boutté_CE_Oct23.xml	91	une urbanisation	atténuer l’impact	axiol	
2022-Boutté_CE_Oct23.xml	109	appauvrit nécessairement la forme urbaine	appauvrit nécessairement	axiol	neg
2022-Boutté_CE_Oct23.xml	111	la production générique du logement	générique	axiol	neg
2022-Boutté_CE_Oct23.xml	123	la permanence d’une cohérence globale d’aménagement	cohérence	axiol	pos
2022-Boutté_CE_Oct23.xml	131	pouvaient largement intervenir dans la qualité spatiale de leurs projets	pouvaient	autre	
2022-Boutté_CE_Oct23.xml	152	figer lors du concours une forme urbaine et des espaces publics	figer		
2022-Boutté_CE_Oct23.xml	152	des ajustements marginaux	marginaux	axiol	
2022-Boutté_CE_Oct23.xml	166	est impératif de rediriger les efforts vers l’existant	est impératif	axiol	
2022-Boutté_CE_Oct23.xml	167	peut continuer à vouloir optimiser le neuf	peut continuer à vouloir	boul+autre	
2022-Boutté_CE_Oct23.xml	167	le neuf			
2022-Boutté_CE_Oct23.xml	172	ont eu pour conséquence d’impacter la morphologie bâtie			
2022-Boutté_CE_Oct23.xml	172	la forme urbaine qui pouvait en résulter	pouvait	autre	
2022-Boutté_CE_Oct23.xml	181	l’étude de l’organisation des pleins et des vides	nous a intéressés	axiol	
2022-Boutté_CE_Oct23.xml	181	a su garder une hauteur globale modérée	a su	axiol	
2022-Boutté_CE_Oct23.xml	186	percer un pignon ou un mitoyen	il est facile	axiol	pos
2022-Boutté_CE_Oct23.xml	186	relier deux bâtiments			
2022-Boutté_CE_Oct23.xml	186	une réorganisation multiple de l’accessibilité	autorisant	autre	
2022-Boutté_CE_Oct23.xml	186	des facteurs de mutabilité inspirants	inspirants	axiol	pos
2022-Boutté_CE_Oct23.xml	197	Leur mise en œuvre			
2022-Boutté_CE_Oct23.xml	197	une répétitivité des dispositifs			
2022-Boutté_CE_Oct23.xml	197	la réintervention sur le bâti	facilitant	axiol	pos
2022-Boutté_CE_Oct23.xml	197	en minimisant les déconstructions			
2022-Boutté_CE_Oct23.xml	199	l’endurance du « système haussmannien »			
2022-Boutté_CE_Oct23.xml	199	perdurera			
2022-Boutté_CE_Oct23.xml	199	un impact massif sur une métropole	massif	axiol	
2022-Boutté_CE_Oct23.xml	200	sa tabula rasa			
2022-Boutté_CE_Oct23.xml	200	réinventer en profondeur les bases politiques, culturelles et esthétiques de la société	besoin vital	axiol	
2022-Boutté_CE_Oct23.xml	200	la fabrique haussmannienne de la ville	passe au second plan	axiol	
2022-Boutté_CE_Oct23.xml	224	réinventer une ville de la non-hostilité	vouloir	boul	
2022-Boutté_CE_Oct23.xml	233	l’actuel épaississement des bâtiments	est nocif	axiol	neg
2022-Boutté_CE_Oct23.xml	234	augmenter la compacité des bâtiments	au détriment de qualités d’habitabilité sur le long terme	axiol	neg
2022-Boutté_CE_Oct23.xml	236	étudier l’option de mitoyenneté	Il est d’autant plus nécessaire	autre	
2022-Boutté_CE_Oct23.xml	243	un grand projet d’intérêt national	il ne faut pas nécessairement	autre	
2022-Boutté_CE_Oct23.xml	248	les services écosystémiques que ces espaces pouvaient offrir à la ville	pouvaient	autre	
2022-Boutté_CE_Oct23.xml	252	faire acte de continuité ou de fraîcheur			
2022-Boutté_CE_Oct23.xml	252	prolonger une veine de vent irrigant les tissus denses			
2022-Boutté_CE_Oct23.xml	252	soigner un rapport au sol ou au sous-sol (nappe phréatique)	soigner	axiol	pos
2022-Boutté_CE_Oct23.xml	255	aller, sur tous les territoires, vers une plus grande qualité de la construction	vers une plus grande qualité	axiol	pos
2022-Boutté_CE_Oct23.xml	257	l’amélioration du logement	l’amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	261	agir	il redevient possible	autre	
2022-Boutté_CE_Oct23.xml	261	projet urbain ou territorial	sous-outillés	axiol	neg
2022-Boutté_CE_Oct23.xml	269	les différentes méthodes de réhabilitation souhaitables	souhaitables	axiol	pos
2022-Boutté_CE_Oct23.xml	273	réemploi des bâtiments existants	passer à la vitesse supérieure	axiol	
2022-Boutté_CE_Oct23.xml	321	construire plus vite et moins cher	besoin urgent	axiol	
2022-Boutté_CE_Oct23.xml	340	table rase de ce quartier	ne justifient pas à mon sens que l’on fasse	axiol	neg
2022-Boutté_CE_Oct23.xml	359	les Opérations programmées d’amélioration de l’habitat	amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	359	la requalification de l’habitat privé ancien			
2022-Boutté_CE_Oct23.xml	360	Opérations programmées d’amélioration thermique des bâtiments	amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	386	tentons de mettre en œuvre des stratégies territoriales	tentons	axiol	
2022-Boutté_CE_Oct23.xml	386	les projets urbains			
2022-Boutté_CE_Oct23.xml	422	« résilience »	« résilience »		
2022-Boutté_CE_Oct23.xml	422	la façon de penser le système urbain			
2022-Boutté_CE_Oct23.xml	422	ses mutations			
2022-Boutté_CE_Oct23.xml	424	adapter le fonctionnement du système urbain et de ses composantes	la nécessité	autre	
2022-Boutté_CE_Oct23.xml	424	mutations potentielles en matière d’usage, de connexion			
2022-Boutté_CE_Oct23.xml	424	toute perturbation non planifiée			
2022-Boutté_CE_Oct23.xml	437	un projet collectif et responsable de construction d’un territoire	responsable	axiol	pos
2022-Boutté_CE_Oct23.xml	439	Structurer l’urbain			
2022-Boutté_CE_Oct23.xml	439	permet de penser les implantations territoriales et urbaines	permet	autre	
2022-Boutté_CE_Oct23.xml	465	faut penser la ville	faut	autre	
2022-Boutté_CE_Oct23.xml	467	doivent devenir prospectivistes, anticiper et construire des scénarios sur le futur	doivent	autre	
2022-Boutté_CE_Oct23.xml	484	une approche métaboliste des territoires et des systèmes urbains	permet de fonder	autre	
2022-Boutté_CE_Oct23.xml	484	stratégies efficaces de soutenabilité	stratégies efficaces	axiol	pos
2022-Boutté_CE_Oct23.xml	487	perdurer	avoir des chances	axiol	pos
2022-Boutté_CE_Oct23.xml	487	ses propres actions correctrices	doit pouvoir intégrer	autre	
2022-Boutté_CE_Oct23.xml	488	Durer			
2022-Boutté_CE_Oct23.xml	488	se transformer	être capable	autre	
2022-Boutté_CE_Oct23.xml	498	restaurer les cycles écologiques naturels			
2022-Boutté_CE_Oct23.xml	498	se jouent			
2022-Boutté_CE_Oct23.xml	498	ont pu être altérés par des décisions malheureuses			
2022-Boutté_CE_Oct23.xml	517	Les opérations d’aménagement	doivent devenir de véritables plateformes d’engagement	autre	
2022-Boutté_CE_Oct23.xml	535	reconquête de ces secteurs en friche			
2022-Boutté_CE_Oct23.xml	535	« faire ville »	la possibilité	autre	
2022-Boutté_CE_Oct23.xml	535	édifier jusqu’à 1 million de m2			
2022-Boutté_CE_Oct23.xml	536	faire ville	il est possible	autre	
2022-Boutté_CE_Oct23.xml	558	une vision stratégique pour l’ensemble du site	veut initialement développer	boul	
2022-Boutté_CE_Oct23.xml	559	le rétablissement d’une continuité urbaine entre Bercy et Charenton	s’impose	autre	
2022-Boutté_CE_Oct23.xml	561	accueillir un programme mixte d’un million de mètres carrés	la capacité	autre	
2022-Boutté_CE_Oct23.xml	617	l’opération	la taille colossale	axiol	
2022-Boutté_CE_Oct23.xml	617	la quasi-absence d’urbanisation			
2022-Boutté_CE_Oct23.xml	617	constructions spontanées			
2022-Boutté_CE_Oct23.xml	681	Montpellier 2040	un projet charnière	axiol	
2022-Boutté_CE_Oct23.xml	733	n’édifier désormais pour ses installations que des bâtiments à énergie positive	innove en décidant	axiol	
2022-Boutté_CE_Oct23.xml	745	rétroagir de façon positive sur un territoire d’accueil	permettant	autre	
2022-Boutté_CE_Oct23.xml	751	installer en toiture les compensations techniques permettant de viser la positivité énergétique attendue	le manque de sens	axiol	neg
2022-Boutté_CE_Oct23.xml	751	conçoit une boucle énergétique locale			
2022-Boutté_CE_Oct23.xml	758	adapter le fonctionnement urbain	la nécessité	autre	
2022-Boutté_CE_Oct23.xml	758	mutations potentielles			
2022-Boutté_CE_Oct23.xml	758	toute perturbation non planifiée			
2022-Boutté_CE_Oct23.xml	764	Transformer la ville			
2022-Boutté_CE_Oct23.xml	764	ne plus détruire, ou a minima détruire moins	a minima détruire moins	axiol	
2022-Boutté_CE_Oct23.xml	765	n’ont pas été pensés pour être réversibles			
2022-Boutté_CE_Oct23.xml	765	la transformation	s’avère délicate	axiol	neg
2022-Boutté_CE_Oct23.xml	777	un modèle de bâtiment durable			
2022-Boutté_CE_Oct23.xml	777	offre une flexibilité, une capacité d’évolutivité et de flexibilité inégalée	inégalée	axiol	pos
2022-Boutté_CE_Oct23.xml	777	des reprogrammations incessantes			
2022-Boutté_CE_Oct23.xml	783	la capacité de réversibilité			
2022-Boutté_CE_Oct23.xml	783	la transformation des immeubles			
2022-Boutté_CE_Oct23.xml	783	l’évolution et de la durabilité d’une ville			
2022-Boutté_CE_Oct23.xml	783	la production contemporaine			
2022-Boutté_CE_Oct23.xml	783	des réalisations hyper-déterministes incapables d’évoluer	incapables d’évoluer	autre	
2022-Boutté_CE_Oct23.xml	816	concevoir la ville « sous contraintes »			
2022-Boutté_CE_Oct23.xml	816	de nouvelles trajectoires urbaines			
2022-Boutté_CE_Oct23.xml	881	Structurer l’urbain	permet	autre	
2022-Boutté_CE_Oct23.xml	881	le contre-projet pour la ville nouvelle de Neom			
2022-Boutté_CE_Oct23.xml	881	permet de penser les implantations territoriales et urbaines	permet	autre	
2022-Boutté_CE_Oct23.xml	894	l’installation d’activités humaines	la possibilité de concilier	autre	
2022-Boutté_CE_Oct23.xml	894	en préservant et en rehaussant la valeur écologique des écosystèmes naturels			
2022-Boutté_CE_Oct23.xml	895	ce qu’il peut devenir	peut	autre	
2022-Boutté_CE_Oct23.xml	895	développement urbain			
2022-Boutté_CE_Oct23.xml	902	ne pouvait plus se faire sans la nature	ne pouvait plus	autre	
2022-Boutté_CE_Oct23.xml	902	« faire plus de nature avec plus d’habitants »			
2022-Boutté_CE_Oct23.xml	902	le développement métropolitain			
2022-Boutté_CE_Oct23.xml	906	le développement d’espaces de nature	peut alors proposer	autre	
2022-Boutté_CE_Oct23.xml	907	les projets verts			
2022-Boutté_CE_Oct23.xml	907	une vision renouvelée de la nature métropolitaine			
2022-Boutté_CE_Oct23.xml	907	le destin de la métropole			
2022-Boutté_CE_Oct23.xml	907	projets sur le territoire			
2022-Boutté_CE_Oct23.xml	907	des projets associant la ville et la nature			
2022-Boutté_CE_Oct23.xml	907	la réalisation des ambitions d’une nature métropolitaine	permettre	autre	
2022-Boutté_CE_Oct23.xml	919	peut être améliorée	améliorée	axiol	pos
2022-Boutté_CE_Oct23.xml	919	la fabrique de la ville			
2022-Boutté_CE_Oct23.xml	919	doivent être résorbés	doivent	autre	
2022-Boutté_CE_Oct23.xml	919	sa transformation			
2022-Boutté_CE_Oct23.xml	923	Transformer les sols			
2022-Boutté_CE_Oct23.xml	923	végétaliser la rue			
2022-Boutté_CE_Oct23.xml	923	transformer les bâtiments			
2022-Boutté_CE_Oct23.xml	923	rafraîchir la ville	rafraîchir		
2022-Boutté_CE_Oct23.xml	923	transformer les rues ordinaires en rues communes apaisées, écologiques, désirables			
2022-Boutté_CE_Oct23.xml	923	adapter la ville aux enjeux du xxie siècle			
2022-Boutté_CE_Oct23.xml	924	transformer les rues métropolitaines ordinaires			
2022-Boutté_CE_Oct23.xml	924	faire la ville durable et désirable du xxie siècle	désirable	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	20	vinrent suspendre pendant plus de dix années toute possibilité de réalisation notable en matière d'urbanisme	notable	axiol	
1965-SDAURP_CE_Oct23_GP.xml	66	inscrire sur le sol cette carte de son devenir	cette volonté, patiente elle aussi, mais obstinée	boul	
1965-SDAURP_CE_Oct23_GP.xml	66	croissance et modernisation	imposant	axiol	
1965-SDAURP_CE_Oct23_GP.xml	77	Préparer la région de Paris à son avenir	c'est y mettre en valeur une beauté ancienne, y créer une beauté nouvelle, que le Parisien comme le visiteur du pays le plus lointain puisse aimer	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	77	son aménagement			
1965-SDAURP_CE_Oct23_GP.xml	78	l'œuvre à accomplir	l'œuvre	axiol	
1965-SDAURP_CE_Oct23_GP.xml	108	cet accroissement de la région de Paris	Il serait erroné, s'arrêtant au chiffre brut (+3,2 millions d'habitants en 23 ans), de croire	axiol	neg
1965-SDAURP_CE_Oct23_GP.xml	108	la fin de la décentralisation entreprise			
1965-SDAURP_CE_Oct23_GP.xml	192	double	Il est improbable	autre	
1965-SDAURP_CE_Oct23_GP.xml	194	les prévisions de la C.N.A.T. pour la région de Paris			
1965-SDAURP_CE_Oct23_GP.xml	194	compensant le retard des premières	il faut donc	autre	
1965-SDAURP_CE_Oct23_GP.xml	194	augmentent davantage	il faut donc	autre	
1965-SDAURP_CE_Oct23_GP.xml	194	triplent	il faut donc	autre	
1965-SDAURP_CE_Oct23_GP.xml	200	"soulager" efficacement la région parisienne	"soulager" efficacement	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	202	le développement parisien			
1965-SDAURP_CE_Oct23_GP.xml	202	peuvent décharger l'agglomération de Paris	peuvent	autre	
1965-SDAURP_CE_Oct23_GP.xml	273	la croissance spontanée d'autres villes dynamiques	spontanée		
1965-SDAURP_CE_Oct23_GP.xml	273	autres villes dynamiques			
1965-SDAURP_CE_Oct23_GP.xml	273	une action concentrée	s'impose	autre	
1965-SDAURP_CE_Oct23_GP.xml	273	accroissement de la région de Paris	l'inéluctable	axiol	
1965-SDAURP_CE_Oct23_GP.xml	274	augmentent de 3% chaque année			
