Nom_fichier	Numéro_Phrase	Dynamique	Lieu_objet	Lieu_loc	Temps	Acteur	Perc	Doc
2003-Corajoud_20230710.xml	248	s’orientent	les quartiers	sur cette belle campagne				
2003-Corajoud_20230710.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	un grand jardin linéaire de 500 mètres par 50	dans le parc de Gerland à Lyon		Gabriel Chauvel	l’un des plus accomplis de nos derniers projets	
2003-Corajoud_20230710.xml	255	réaliser un jardin	jardin		depuis longtemps	Nous	voulions	
2003-Corajoud_20230710.xml	259	son mode de gestion: la tonte fréquente	ce jardin				Un facteur essentiel d’étonnement	
2003-Corajoud_20230710.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	quais de la rive gauche de Bordeaux		actuellement	Nous	je n’ai pas suffisamment de recul pour faire le bilan de ce travail	
2003-Corajoud_20230710.xml	270	chantier			Il nous reste quatre ou cinq ans			
2003-Corajoud_20230710.xml	272	un projet de « second œuvre »						
2003-Corajoud_20230710.xml	274	apportons les ombres et les lumières d’un espace « jardiné »	un espace « jardiné »			nous		
2003-Corajoud_20230710.xml	276	la conception d’un logement	un logement					
2003-Corajoud_20230710.xml	277	aménagement des quais Rive Gauche	quais Rive Gauche	Bordeaux				
2003-Corajoud_20230710.xml	278	créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures	d’autres textures					
2003-Corajoud_20230710.xml	279	aménager cet espace public						
2003-Corajoud_20230710.xml	280	restera	l’espace des quais		pour toujours			
2003-Corajoud_20230710.xml	288	l’urbanisation	des terrains agricoles					
2003-Corajoud_20230710.xml	289	peut, à mon sens, polariser, orienter, ordonner, et finalement qualifier les fragments épars de la ville moderne	les fragments épars de la ville moderne				peut, à mon sens	
2003-Corajoud_20230710.xml	290	accueillir une forme urbaine	une forme urbaine				aptes	
2003-Corajoud_20230710.xml	298	sauvegarder cette dernière	cette dernière					
2003-Corajoud_20230710.xml	308	se trame						
2003-Corajoud_20230710.xml	309	veut-on faire de lui	lui				veut	
2003-Corajoud_20230710.xml	311	doit-on le transformer	le				doit-on	
2003-Corajoud_20230710.xml	318	expérimenter, imaginer l’espace						
2003-Corajoud_20230710.xml	330	Tout projet sur le territoire	le territoire					
2003-Corajoud_20230710.xml	331	L’aménagement de chaque lieu	chaque lieu					
2003-Corajoud_20230710.xml	356	telle ou telle transformation						
2003-Corajoud_20230710.xml	359	la tabula rasa						
2003-Corajoud_20230710.xml	362	l’encombrement systématique de l’espace						
2003-Corajoud_20230710.xml	363	vouloir tout tenir, tout construire, tout recomposer						
2003-Corajoud_20230710.xml	365	se priver de le faire						
2003-Corajoud_20230710.xml	371	la transformation et l’amélioration des lieux	lieux				l’amélioration	
2003-Corajoud_20230710.xml	372	la mise en forme proposée						
2003-Corajoud_20230710.xml	374	sa réalisation	L’espace					
2005-Siza_20230710.xml	24	Certains de mes projets						
2005-Siza_20230710.xml	45	construire de mes propres mains					Je n’aimerais pas	
2005-Siza_20230710.xml	50	l’inachevé						
2005-Siza_20230710.xml	51	mener à bien						
2005-Siza_20230710.xml	57	construire					de la façon la plus pratique et la plus rationnelle	
2005-Siza_20230710.xml	62	rénovation du Chiado	Chiado	à Lisbonne				le plan
2005-Siza_20230710.xml	63	construire en continuité					la difficulté contemporaine	
2005-Siza_20230710.xml	65	opérations de restructuration de logements sociaux	logements sociaux			architectes urbanistes		
2005-Siza_20230710.xml	73	sa relative décadence	le centre de Lisbonne				décadence	
2005-Siza_20230710.xml	75	des surfaces à conquérir						
2005-Siza_20230710.xml	78	la construction		sur l’eau				
2005-Siza_20230710.xml	80	la conquête de terrain	terrain	sur la mer				
2005-Siza_20230710.xml	81	s’est agrandie successivement	La péninsule					
2005-Siza_20230710.xml	82	la nouvelle extension						
2005-Siza_20230710.xml	83	la réalisation						
2005-Siza_20230710.xml	84	a été multipliée par deux par rapport à ce qui était prévu	La hauteur des bâtiments					
2005-Siza_20230710.xml	85	développement de cette région	cette région				est particulièrement intense	
2005-Siza_20230710.xml	86	l’extension de la ville	la ville					
2005-Siza_20230710.xml	88	créent le paysage comme un tout						
2005-Siza_20230710.xml	91	les nouveaux espaces à construire	les nouveaux espaces					
2005-Siza_20230710.xml	93	construire deux grandes plates-formes						
2005-Siza_20230710.xml	96	seront insérées	les voies existantes	dans le nouveau tracé				
2005-Siza_20230710.xml	100	villes fondées	villes			les Espagnols		
2005-Siza_20230710.xml	102	L’implantation espagnole					réunit toute la sagesse urbanistique des temps les plus anciens	
2005-Siza_20230710.xml	103	nouveaux développements						
2005-Siza_20230710.xml	104	la construction					puissent aider	
2005-Siza_20230710.xml	105	doit s’adapter à la topographie						
2005-Siza_20230710.xml	106	s’adapte mieux au site						
2005-Siza_20230710.xml	107	Le dessin des espaces publics et de l’architecture	espaces publics					
2005-Siza_20230710.xml	108	la nouvelle architecture de la ville						
2005-Siza_20230710.xml	110	a été dessinée une allée plantée d’arbres de grandes dimensions						
2005-Siza_20230710.xml	111	la Baixa de Lisbonne, entièrement reconstruite	la Baixa de Lisbonne		après le tremblement de terre de 1755			
2005-Siza_20230710.xml	119	la reconstruction de certaines parties de ce grand édifice préfabriqué qu’est la Baixa						
2005-Siza_20230710.xml	120	l’intervention du XVIIIe siècle			du XVIIIe siècle			
2005-Siza_20230710.xml	121	mal construites			souvent			
2005-Siza_20230710.xml	122	les façades tomberaient	les façades					
2005-Siza_20230710.xml	124	ont été reconstruits et restitués à leur fonction d’origine	Les cadrages des portes, modénatures et corniches					
2005-Siza_20230710.xml	129	relier la plate-forme du Chiado	la plate-forme du Chiado	à l’église de Carmo			m’est apparu nécessaire	
2005-Siza_20230710.xml	130	ce parcours, disparu	ce parcours					
2005-Siza_20230710.xml	133	relie deux quartiers importants de la ville: le Bairro Alto et la Baixa	la Baixa					
2005-Siza_20230710.xml	134	risque d’être rendu exclusivement aux piétons	le Chiado				risque	
2005-Siza_20230710.xml	142	l’empressement avec lequel on veut tout porter à l’achèvement					Un aspect qui m’impressionne beaucoup dans l’architecture et la ville de notre époque	
2005-Siza_20230710.xml	144	n’importe quelle intervention			Aujourd’hui		s’obstine à avoir une image finale	
2005-Siza_20230710.xml	147	interventions disséminées						
2005-Siza_20230710.xml	148	la mise en œuvre du projet urbain						
2005-Siza_20230710.xml	149	la conviction de l’absence d’un futur						
2005-Siza_20230710.xml	151	construire sa propre maison	sa propre maison			cette population organisée, composée de cent familles	maintient l’intention	
2005-Siza_20230710.xml	152	quelques-uns d’ailleurs réalisés						
2005-Siza_20230710.xml	153	suspendre la construction				L’architecte urbaniste Nuño Portas, secrétaire pour l’Habitat et l’Urbanisme du gouvernement provisoire		
2005-Siza_20230710.xml	154	la construction d’habitations basses très denses	habitations basses très denses					
2005-Siza_20230710.xml	155	expérimenter des nouvelles solutions pour l’habitat						
2005-Siza_20230710.xml	156	le projet des maisons	maisons					
2005-Siza_20230710.xml	164	les bâtiments de sept niveaux construits	les bâtiments de sept niveaux					l’ancien plan
2005-Siza_20230710.xml	168	ont laissé sur le terrain le dessin du parcours le plus adapté	parcours le plus adapté	sur le terrain				
2005-Siza_20230710.xml	169	les possibilités de transformation et de relations					les possibilités	
2005-Siza_20230710.xml	171	reliant le nouveau lieu à la ville ancienne		à la ville ancienne				
2005-Siza_20230710.xml	172	ai décidé de tracer aussi l’axe nord-sud						
2005-Siza_20230710.xml	173	l’intervention						
2005-Siza_20230710.xml	174	de nombreuses constructions		se rapprochant du quartier de Santa Maria				
2005-Siza_20230710.xml	176	la régénération des espaces ouverts des maisons préexistantes						
2005-Siza_20230710.xml	179	construire uniquement des maisons à patio	des maisons à patio	dans un secteur de la ville			inacceptable	
2005-Siza_20230710.xml	182	proposer le réseau d’infrastructures	le réseau d’infrastructures	à la hauteur des toitures				
2005-Siza_20230710.xml	184	la construction des logements	logements					
2005-Siza_20230710.xml	187	seront occupés						
2005-Siza_20230710.xml	188	la localisation					étrangère à la structure du quartier	
2005-Siza_20230710.xml	189	les possibilités de projets						
2005-Siza_20230710.xml	190	lieux non finis	lieux					
2005-Siza_20230710.xml	191	ces lieux commencent à être remplis	ces lieux					
2005-Siza_20230710.xml	193	villes détruites						
2005-Siza_20230710.xml	194	développement économique et urbain						
2005-Siza_20230710.xml	198	la tabula rasa						
2005-Siza_20230710.xml	200	réhabilitation						
2005-Siza_20230710.xml	201	Cet effort rénovateur					n’est pas à l’abri des tendances de simplification et d’omission	
2005-Siza_20230710.xml	202	projet d’architecture						
2005-Siza_20230710.xml	205	une transformation irréversible						
2005-Siza_20230710.xml	206	la transformation urbaine non répressive et non instrumentale					non instrumentale	
2005-Siza_20230710.xml	207	la transformation urbaine					est prévisible	
2005-Siza_20230710.xml	208	la planification urbaine et architecturale de La Haye	La Haye					
2005-Siza_20230710.xml	209	la transformation urbaine de Schilderswick	Schilderswick					
2005-Siza_20230710.xml	210	la dégradation environnante						
2005-Siza_20230710.xml	211	La rénovation					doit être lente et étalée dans le temps	
2005-Siza_20230710.xml	217	la transformation de la ville	la ville					
2005-Siza_20230710.xml	220	le grand effort de construction et de transformation	les villes européennes d’après-guerre				le grand effort	
2005-Siza_20230710.xml	222	la table rase						
2005-Siza_20230710.xml	225	a été totalement bouleversée	une partie très significative du centre-ville				totalement bouleversée	
2005-Siza_20230710.xml	226	se développe démesurément						
2005-Siza_20230710.xml	227	l’interruption du système de rues et de l’ancienne logique d’occupation du sol					Les changements les plus importants survenus à ce moment-là	
2005-Siza_20230710.xml	228	une décadence et une dégradation		Montreuil			une dégradation	
2005-Siza_20230710.xml	229	ce processus de dégradation et de perte de caractère du centre historique	centre historique				perte de caractère	
2005-Siza_20230710.xml	240	les grands bouleversements	la ville				les grands bouleversements	
2005-Siza_20230710.xml	241	ces bouleversements						
2005-Siza_20230710.xml	244	permette de recréer un rapport entre la rue et les tours	les tours					
2005-Siza_20230710.xml	246	libérer des volumes parasites de deux ou trois étages qui s’agrippent à elles						
2005-Siza_20230710.xml	248	adoucir le rapport à la ville ancienne et les deux tours						
2005-Siza_20230710.xml	249	la division						
2005-Siza_20230710.xml	252	une transformation plus large						
2005-Siza_20230710.xml	255	persistance du rural						
2005-Siza_20230710.xml	258	la démolition	le théâtre					Ce programme
2005-Siza_20230710.xml	259	faille les démolir	les tours				faille	
2005-Siza_20230710.xml	260	la transformation antérieure					je ne partage pas cette idée – conservatrice au fond	
2005-Siza_20230710.xml	261	démolitions de structures existantes	structures existantes				je suis contre l’idée	
2005-Siza_20230710.xml	262	détruit					systématiquement	
2005-Siza_20230710.xml	263	vouloir tout préserver					vouloir	
2005-Siza_20230710.xml	266	quelques œuvres récentes						
2005-Siza_20230710.xml	268	créer comme une grille	une grille					
2005-Siza_20230710.xml	271	leur consolidation	Les villes d’Europe du Nord	en Orient				
2005-Siza_20230710.xml	278	des persistances						
2005-Siza_20230710.xml	282	quelques belles œuvres exemplaires						
1958-padog_20230710.xml	2	croissance exceptionnellement rapide						
1958-padog_20230710.xml	3	se sont édifiés	Des milliers de logements sans confort				dans un incroyable désordre	
1958-padog_20230710.xml	4	n’ont ajouté à « la plus belle ville du monde » qu’une banlieue indifférenciée, sans style et sans âme						
1958-padog_20230710.xml	8	un immense effort de construction						
1958-padog_20230710.xml	9	ont surgi						
1958-padog_20230710.xml	11	doit évoluer le Paris futur		le Paris futur			doit	
1958-padog_20230710.xml	14	la prévision		la première de ses régions		un Pays vivant	se doit de réserver	
1958-padog_20230710.xml	15	le Devenir de Paris	Paris			le Gouvernement		un document unique, de conception simple et large
1958-padog_20230710.xml	18	Le développement extraordinaire de Paris et de sa Région	sa Région				extraordinaire	
1958-padog_20230710.xml	19	son embellissement et à son équipement						
1958-padog_20230710.xml	20	la croissance de PARIS	PARIS			des Gouvernements successifs	L’un des plus constants soucis	
1958-padog_20230710.xml	22	en bâtissant les enceintes successives de Paris	les enceintes successives de Paris			les Fermiers Généraux	cette volonté	
1958-padog_20230710.xml	25	se bastissent						
1958-padog_20230710.xml	26	la création de nouveaux quartiers						
1958-padog_20230710.xml	27	l’opération d’extension	terrains					
1958-padog_20230710.xml	30	devront être matérialisées	ces nouvelles limites	« à commencer depuis la rivière vis-à-vis le gros pavillon des Tuileries de ladite rivière en amont à regagner le bastion de l’Arsenal circuisant la ligne qui doit enclore les fauxbourgs Saint-Germain, Saint-Michel, Saint-Jacques, Saint-Marcel et Saint-Victor »			devront	
1958-padog_20230710.xml	31	L’extension		sur la rive gauche			sensible	
1958-padog_20230710.xml	32	l’embellissement de cette ville						
1958-padog_20230710.xml	33	l’accroissement continuel et de l’augmentation de « la grande ville	la grande ville		A cette époque		on se plaint	
1958-padog_20230710.xml	34	percements de rues						
1958-padog_20230710.xml	35	nouvel accroissement						
1958-padog_20230710.xml	36	interdiction de construire						
1958-padog_20230710.xml	38	l’extension des limites à l’intérieur desquelles on percevait l’impôt	limites à l’intérieur desquelles on percevait l’impôt		En 1785	les Fermiers Généraux		
1958-padog_20230710.xml	39	accroît à son tour la superficie de Paris						
1958-padog_20230710.xml	42	transforme						
1958-padog_20230710.xml	43	un développement considérable de l’agglomération parisienne						
1958-padog_20230710.xml	44	s’accroîtra	elle		En moins de 80 ans			
1958-padog_20230710.xml	46	ne tardèrent pas à occuper des surfaces égales à près d’une fois et demi celle de Paris (13.000 hectares)		13.000 hectares				
1958-padog_20230710.xml	47	un développement aussi anarchique qu’inesthétique et ruineux				un Comité Supérieur de l’Aménagement et de l’Organisation Générale de la Région Parisienne	ruineux	
1958-padog_20230710.xml	49	les zones réservées à l’habitation						
1958-padog_20230710.xml	52	avoir sauvegardé des espaces libres ou boisés						
1958-padog_20230710.xml	53	ont définitivement effacé les traces de la dernière enceinte						
1958-padog_20230710.xml	54	s’agrandit	une seule ville					
1958-padog_20230710.xml	56	des problèmes d’aménagement du territoire						
1958-padog_20230710.xml	61	L’aménagement de la Région Parisienne	la Région Parisienne				un problème national	
1958-padog_20230710.xml	65	L’organisation et l’aménagement de la Région Parisienne	la Région Parisienne				des « affaires d’État »	
1958-padog_20230710.xml	67	être conçues et réalisées						
1958-padog_20230710.xml	68	ces tâches		Dans la Région Parisienne			particulièrement lourdes et complexes	
1958-padog_20230710.xml	77	Les transformations à apporter	divers réseaux de communication, d’énergie, d’adduction d’eau et d’assainissement					
1958-padog_20230710.xml	78	devront être concentrés, groupés ou créés les différents services publics	les différents services publics	Les zones			devront	
1958-padog_20230710.xml	80	Les zones à protéger	Les zones					
1958-padog_20230710.xml	82	l’urbanisation peut être poursuivie ou entreprise	Les secteurs				peut	
1958-padog_20230710.xml	83	la création						
1958-padog_20230710.xml	85	les parcs urbains à aménager ou à créer						
1958-padog_20230710.xml	88	une volonté d’aménagement et d’organisation			de l’AN 2.000			
1958-padog_20230710.xml	95	Le Devenir de PARIS	PARIS				nécessite des options importantes	
1958-padog_20230710.xml	102	toutes les réalisations nouvelles, tant en matière de construction que d’équipement				les particuliers		
1958-padog_20230710.xml	109	étendu	un périmètre tracé approximativement à 35 km autour de Notre-Dame	à une partie du département de l’Oise				
1958-padog_20230710.xml	117	l’aménagement de la Région Parisienne	la Région Parisienne					
1958-padog_20230710.xml	134	les opérations			au cours des prochaines années	particuliers	paraissent devoir être retenues	Le plan
1958-padog_20230710.xml	135	l’avenir de la Région	la Région				les possibilités plus vastes nécessaires	
1958-padog_20230710.xml	164	puissent ainsi être réalisées						
1958-padog_20230710.xml	174	convergence des activités nationales						
1958-padog_20230710.xml	175	La concentration industrielle		autour de la Capitale	à partir du XIXe siècle			
1958-padog_20230710.xml	182	n’a pu être réalisé						
1958-padog_20230710.xml	183	des propositions pour l’aménagement et l’organisation de la Région Parisienne	la Région Parisienne				peuvent être établies	
1958-padog_20230710.xml	186	son accroissement particulièrement rapide						
1958-padog_20230710.xml	192	nouveaux groupes d'habitation						
1958-padog_20230710.xml	288	entraînera obligatoirement des localisations nouvelles	des localisations nouvelles				on doit tenir compte	
1958-padog_20230710.xml	293	l’exploitation avisée des richesses touristiques (monuments, sites, forêts, parcs, plans d’eau, etc.)	parcs, plans d’eau					
1958-padog_20230710.xml	294	l’agglomération de demain						
1958-padog_20230710.xml	299	de très belles réalisations urbaines						
1958-padog_20230710.xml	300	les réalisations d’Haussmann						
1958-padog_20230710.xml	301	s’y sont développées						
1958-padog_20230710.xml	302	n’ont pas effacé les tristes lotissements de la première moitié du siècle						
1958-padog_20230710.xml	306	un nouvel aménagement de la Région Parisienne	la Région Parisienne					
1958-padog_20230710.xml	316	se trouvent progressivement reportées						
1958-padog_20230710.xml	318	Cet assainissement des quartiers nobles	des quartiers nobles				doit leur conserver l’animation, l’exubérance même, qui marquent d’une façon si caractéristique l’ambiance de PARIS, et qui sont à l’origine de son rayonnement	
1958-padog_20230710.xml	319	interdisant des expansions administratives inconsidérées						
1958-padog_20230710.xml	325	leur permettent de se moderniser						
1958-padog_20230710.xml	326	l’installation des services publics indispensables						
1958-padog_20230710.xml	330	renouvellement progressif de l’habitat						
1958-padog_20230710.xml	333	Leur rénovation progressive					doit conduire à les aérer	
1958-padog_20230710.xml	348	former une énorme agglomération						
1958-padog_20230710.xml	351	construit						
1958-padog_20230710.xml	352	un développement harmonieux					harmonieux	
1958-padog_20230710.xml	364	se développer	L’industrie et les activités	dans certaines banlieues				
1958-padog_20230710.xml	367	une réalisation normale des équipements						
1958-padog_20230710.xml	372	un projet de réorganisation						
1958-padog_20230710.xml	376	doivent être rénovés	des centres urbains vivants correspondant aux noyaux anciens des communes suburbaines	Aux portes mêmes de PARIS			doivent	
1958-padog_20230710.xml	378	en restructurant l’agglomération						
1958-padog_20230710.xml	380	créer des noyaux nouveaux						
1958-padog_20230710.xml	381	faut les équiper	les				faut	
1958-padog_20230710.xml	392	son maintien						
1958-padog_20230710.xml	414	le développement						
1958-padog_20230710.xml	417	la réalisation						
1958-padog_20230710.xml	420	le maintien						
1958-padog_20230710.xml	421	mettre en pratique ce plan de décentralisation						
1958-padog_20230710.xml	425	toute construction d'immeuble privé	immeuble privé					L'un de ces décrets
1958-padog_20230710.xml	430	pourraient, avec beaucoup d’intérêt, être regroupées	Elles	dans des villes de province			avec beaucoup d’intérêt	
1958-padog_20230710.xml	435	se sont dispersées						
1958-padog_20230710.xml	436	continuer à accroître dans ce domaine la concentration parisienne						
1958-padog_20230710.xml	439	doivent y être conservés, aménagés, voire complétés ou exaltés	Tous les éléments de classe exceptionnelle				exaltés	
1958-padog_20230710.xml	440	peuvent être plus opportunément placés	Certains autres	dans d'autres villes			opportunément	
1958-padog_20230710.xml	445	prévoir les nouveaux établissements universitaires indispensables	les nouveaux établissements universitaires indispensables	dans quelques points bien choisis de cette banlieue	au cours des prochaines années			
1958-padog_20230710.xml	449	le développement très important du secteur tertiaire	secteur tertiaire		au cours de ces dernières années		était freiné	
1958-padog_20230710.xml	450	a chassé progressivement et presque complètement l’habitation	l’habitation	de certaines voies des VIIIe, XVIIe et même XVIe arrondissements de PARIS				
1958-padog_20230710.xml	453	pourraient être avantageusement localisées	de telles installations	dans des villes de province bien reliées à la Capitale			avantageusement	
1958-padog_20230710.xml	455	ce mouvement						
1958-padog_20230710.xml	460	supprimer cette activité industrielle intense	cette activité industrielle intense				ce qui serait d’ailleurs irréalisable	
1958-padog_20230710.xml	461	leur développement						
1958-padog_20230710.xml	462	une réinstallation						
1958-padog_20230710.xml	463	libérerait des terrains	des terrains					
1958-padog_20230710.xml	464	peut raisonnablement être implanté						
1958-padog_20230710.xml	465	le développement de ce qui n’ajouterait rien à son rôle de Capitale	ce qui n’ajouterait rien à son rôle de Capitale					
1958-padog_20230710.xml	468	une rénovation et une restructuration de l'agglomération parisienne	l'agglomération parisienne				indispensables	
1958-padog_20230710.xml	469	cette restructuration					peut être entreprise	
1958-padog_20230710.xml	471	cette rénovation						
1958-padog_20230710.xml	472	pouvait être menée rapidement						
1958-padog_20230710.xml	474	seront groupés habitations, emplois et tous les services indispensables à une vie urbaine organisée rationnellement						
