Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	axe_temp	absolu	Type
2003-Corajoud_CE_Oct23.xml	155	des configurations urbaines futures	futures	fut		
2003-Corajoud_CE_Oct23.xml	157	l’avenir des murs	l’avenir	fut		
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	pour six ans	pas		dur
2003-Corajoud_CE_Oct23.xml	193	Urbaniser la Plaine	au XIXe siècle	pas		dur
2003-Corajoud_CE_Oct23.xml	202	a, depuis toujours, composé les villes	depuis toujours	pas		dur
2003-Corajoud_CE_Oct23.xml	202	en créant des systèmes d’interrelations				
2003-Corajoud_CE_Oct23.xml	209	un avenir pour la Plaine	avenir	fut		
2003-Corajoud_CE_Oct23.xml	225	aménageaient				
2003-Corajoud_CE_Oct23.xml	225	produisait sans cesse des culs-de-sac bornés	sans cesse	pas		iter
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	en 1960	pas	oui	
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	En 1987	pas	oui	
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin	depuis longtemps	pas		dur
2003-Corajoud_CE_Oct23.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	actuellement	pas		pres
2003-Corajoud_CE_Oct23.xml	270	chantier	Il nous reste quatre ou cinq ans	fut		dur
2003-Corajoud_CE_Oct23.xml	280	restera	pour toujours	fut		dur
2003-Corajoud_CE_Oct23.xml	356	ont modelé et configuré ce paysage	divers temps			
2003-Corajoud_CE_Oct23.xml	356	le devenir du site				
2003-Corajoud_CE_Oct23.xml	356	telle ou telle transformation				
2022-Boutté_CE_Oct23.xml	30	le logement de qualité de demain	demain	fut		
2022-Boutté_CE_Oct23.xml	50	sa mise en œuvre	dans la durée	fut		dur
2022-Boutté_CE_Oct23.xml	83	programmation territoriale et urbaine				
2022-Boutté_CE_Oct23.xml	83	la restauration des continuités et des cycles naturels				
2022-Boutté_CE_Oct23.xml	83	futur projet				
2022-Boutté_CE_Oct23.xml	152	figer lors du concours une forme urbaine et des espaces publics	lors du concours			
2022-Boutté_CE_Oct23.xml	152	des ajustements marginaux				
2022-Boutté_CE_Oct23.xml	153	concevoir une forme urbaine	deux petits mois			
2022-Boutté_CE_Oct23.xml	174	le projet de la rue Frémicourt	Au début des années 2010	pas	oui	
2022-Boutté_CE_Oct23.xml	192	projets imaginés	au début des années 2010	pas	oui	
2022-Boutté_CE_Oct23.xml	193	concevoir des bâtiments bas carbone	pour 2012	pas	oui	
2022-Boutté_CE_Oct23.xml	193	le cycle de vie du bâtiment				
2022-Boutté_CE_Oct23.xml	199	l’endurance du « système haussmannien »				
2022-Boutté_CE_Oct23.xml	199	perdurera	près de cinquante années après le départ du baron de son poste de préfet	pas		dur
2022-Boutté_CE_Oct23.xml	199	un impact massif sur une métropole	dans une fenêtre historique qui reste relativement étroite	pas		dur
2022-Boutté_CE_Oct23.xml	200	sa tabula rasa	dans les années 1920	pas	oui	dur
2022-Boutté_CE_Oct23.xml	200	réinventer en profondeur les bases politiques, culturelles et esthétiques de la société				
2022-Boutté_CE_Oct23.xml	200	la fabrique haussmannienne de la ville				
2022-Boutté_CE_Oct23.xml	233	l’actuel épaississement des bâtiments	l’actuel	pres		dur
2022-Boutté_CE_Oct23.xml	319	l’industrialisation de la construction	au sortir de la Seconde Guerre mondiale	pas		
2022-Boutté_CE_Oct23.xml	322	aboutira aux 4 000 logements de La Courneuve				
2022-Boutté_CE_Oct23.xml	322	la construction d’alors	d’alors	pas		dur
2022-Boutté_CE_Oct23.xml	395	pari sur l’avenir	l’avenir	fut		
2022-Boutté_CE_Oct23.xml	399	Une première expérience à grande échelle	menée en 2007	pas	oui	
2022-Boutté_CE_Oct23.xml	399	résilience urbaine				
2022-Boutté_CE_Oct23.xml	399	reconquête de secteurs de friches				
2022-Boutté_CE_Oct23.xml	445	L’exercice mené sur la « rue commune »				
2022-Boutté_CE_Oct23.xml	445	imaginant la ville apaisée	post-Covid	fut		
2022-Boutté_CE_Oct23.xml	445	réaliser des territoires durables				
2022-Boutté_CE_Oct23.xml	503	s’installent essentiellement				
2022-Boutté_CE_Oct23.xml	503	qualifions les vides	après des années de sur-optimisation environnementale des pleins			
2022-Boutté_CE_Oct23.xml	503	pensons-les comme armature écologique et inconstructible				
2022-Boutté_CE_Oct23.xml	510	la ville de demain	demain	fut		
2022-Boutté_CE_Oct23.xml	522	Une première expérience à la grande échelle	en 2007	pas	oui	
2022-Boutté_CE_Oct23.xml	567	futur quartier de Bercy-Charenton	futur	fut		
2022-Boutté_CE_Oct23.xml	588	planification urbaine et territoriale	près d’un demi-siècle	pas		dur
2022-Boutté_CE_Oct23.xml	588	dessiner une métropole complète	en six mois de temps			dur
2022-Boutté_CE_Oct23.xml	615	la future cité	future	fut		
2022-Boutté_CE_Oct23.xml	768	Le projet Saussure, érigé en 2014	en 2014	pas	oui	
2022-Boutté_CE_Oct23.xml	768	la nouvelle Zac Clichy-Batignolles				
2022-Boutté_CE_Oct23.xml	869	les facteurs d’évolution	futur	fut		
2022-Boutté_CE_Oct23.xml	869	son développement futur	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	9	sans cesse grandissantes	depuis un siècle	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	9	les trouées des routes nationales				
1965-SDAURP_CE_Oct23_GP.xml	10	tombaient les fortifications de Thiers	en 1925	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	20	vinrent suspendre pendant plus de dix années toute possibilité de réalisation notable en matière d'urbanisme	pendant plus de dix années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	37	l'avenir de la région parisienne	l'avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	40	l'avenirl'avenir de la région parisienne	l'avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	46	"Devenir de Paris"	Devenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	77	Préparer la région de Paris à son avenir	son avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	77	son aménagement				
1965-SDAURP_CE_Oct23_GP.xml	107	poursuite de la croissance urbaine générale				
1965-SDAURP_CE_Oct23_GP.xml	107	un développement accentué des villes de province	Pour la période 1962-1985	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	107	un développement moindre de la région de Paris	Pour la période 1962-1985	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	107	la croissance de la région de Paris serait de 36 %	Pour la période 1962-1985	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	107	s'accroîtraient ensemble de 54 %	Pour la période 1962-1985	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	108	cet accroissement de la région de Paris				
1965-SDAURP_CE_Oct23_GP.xml	108	la fin de la décentralisation entreprise	il y a une dizaine d'années	pas		
1965-SDAURP_CE_Oct23_GP.xml	133	La croissance de Paris	entre 1985 et 2000	fut	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	155	auraient en moyenne plus que doublé	De 1962 à 2000	fut	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	155	n'augmenterait que des deux tiers				
1965-SDAURP_CE_Oct23_GP.xml	155	augmenteraient				
1965-SDAURP_CE_Oct23_GP.xml	155	n'augmenterait que de 1,5 %				
1965-SDAURP_CE_Oct23_GP.xml	155	les évolutions prévues				
1965-SDAURP_CE_Oct23_GP.xml	155	un ralentissement de la croissance de la région de Paris				
1965-SDAURP_CE_Oct23_GP.xml	155	une accélération de la croissance des autres agglomérations				
1965-SDAURP_CE_Oct23_GP.xml	161	CROISSANCE DES MÉTROPOLES D’ÉQUILIBRE	1954- 1962	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	199	l'aménagement du territoire				
1965-SDAURP_CE_Oct23_GP.xml	199	un triplement	en trente-cinq ans	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	212	CROISSANCE DES AGGLOMÉRATIONS IMPORTANTES DU BASSIN PARISIEN	1954-1962	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	221	CROISSANCE DES AGGLOMÉRATIONS MOYENNES	DU BASSIN PARISIEN	1954- 1962	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	274	augmentent de 3% chaque année				
1965-SDAURP_CE_Oct23_GP.xml	274	auront soutenu un accroissement annuel de l'ordre de 2,5 % en moyenne				
1965-SDAURP_CE_Oct23_GP.xml	274	commencent à "soulager" Paris				
1965-SDAURP_CE_Oct23_GP.xml	274	un triplement				
1965-SDAURP_CE_Oct23_GP.xml	277	voir rapidement grandir les autres villes de France				
1965-SDAURP_CE_Oct23_GP.xml	277	deviendra plus grand				
1965-SDAURP_CE_Oct23_GP.xml	280	un freinage des métropoles d'équilibre ou des villes du bassin parisien				
1965-SDAURP_CE_Oct23_GP.xml	280	leur essor	des années récentes	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	280	le commencement de leur réveil				
1965-SDAURP_CE_Oct23_GP.xml	280	vont tripler	en moins de quarante ans	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	280	au minimum doubler				
1965-SDAURP_CE_Oct23_GP.xml	281	préparer une région de Paris				
1965-SDAURP_CE_Oct23_GP.xml	281	auront d'ici là préparé leur ville, ou plutôt leur agglomération et dans certains cas leur région urbaine toute entière	d'ici là	fut		
1965-SDAURP_CE_Oct23_GP.xml	313	les usines et les bureaux construits	aujourd'hui	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	314	bâtiments construits	avant 1880	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	314	existent encore	aujourd'hui	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	314	devraient être systématiquement détruits				
1965-SDAURP_CE_Oct23_GP.xml	338	seront construits	d'ici la fin du siècle	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	338	remplaceront une partie des équipements actuellement existants				
1965-SDAURP_CE_Oct23_GP.xml	338	la démolition				
1965-SDAURP_CE_Oct23_GP.xml	338	seraient reconstruits	d'ici la fin du siècle	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	338	les installations et les bâtiments de remplacement				
1965-SDAURP_CE_Oct23_GP.xml	435	la réalisation des grands ouvrages et des programmes d’équipement				
1965-SDAURP_CE_Oct23_GP.xml	435	l'avenir de l'agglomération	l'avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	440	l'avenir de l'agglomération				
1965-SDAURP_CE_Oct23_GP.xml	440	réalisation des grands équipements d'infrastructure, particulièrement de voies ferrées et d'autoroutes				
1965-SDAURP_CE_Oct23_GP.xml	441	tout retard				
1965-SDAURP_CE_Oct23_GP.xml	441	peut être réalisé aisément et à coût normal	aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	452	les poussées de la ville	depuis 1840	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	478	Tracer le schéma directeur du Paris de demain	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	478	n'est pas dessiner un Brasilia français				
1965-SDAURP_CE_Oct23_GP.xml	478	les extensions en surface de cette agglomération				
1965-SDAURP_CE_Oct23_GP.xml	479	cet agrandissement d'une trame urbaine				
1965-SDAURP_CE_Oct23_GP.xml	479	ont déjà étendue	depuis Haussmann	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	479	la croissance d'une ville				
1965-SDAURP_CE_Oct23_GP.xml	479	successivement franchies	depuis Haussmann	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	479	a toujours grandi	toujours	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	507	a dévoré le petit département de la Seine				
1965-SDAURP_CE_Oct23_GP.xml	507	a mangé le curieux anneau circulaire de Seine-et-Oise				
1965-SDAURP_CE_Oct23_GP.xml	507	a même mordu sur la Seine-et-Marne				
1965-SDAURP_CE_Oct23_GP.xml	507	en formeront huit	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	568	ne s'est pas améliorée	Depuis 1945	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	568	a au contraire empiré	Depuis 1945	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	571	ont été construits	depuis la fin de la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	573	construits	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	575	Les constructions n'ont en effet repris	qu'à partir de ce moment	pas		
1965-SDAURP_CE_Oct23_GP.xml	575	13.000 logements terminés	en 1953	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	577	aura construit, depuis 1953, plus d'un million de logements	depuis 1953	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	578	aura bâti un autre Paris	en quinze ans			dur
1965-SDAURP_CE_Oct23_GP.xml	599	se colmatent	Progressivement			dur
1965-SDAURP_CE_Oct23_GP.xml	602	Les constructions réalisées	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	602	ont fait disparaître beaucoup des espaces libres qui existaient				
1965-SDAURP_CE_Oct23_GP.xml	603	L'extension des surfaces bâties				
1965-SDAURP_CE_Oct23_GP.xml	603	développement "en tache d'huile"				
1965-SDAURP_CE_Oct23_GP.xml	603	l'agrandissement	tout au long des siècles	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	604	la croissance passée de l'agglomération de Paris				
1965-SDAURP_CE_Oct23_GP.xml	604	plusieurs étapes				
1965-SDAURP_CE_Oct23_GP.xml	604	des extensions linéaires				
1965-SDAURP_CE_Oct23_GP.xml	604	la construction des voies ferrées				
1965-SDAURP_CE_Oct23_GP.xml	604	le comblement des espaces interstitiels	enfin			
1965-SDAURP_CE_Oct23_GP.xml	605	se construisent	en même temps			
1965-SDAURP_CE_Oct23_GP.xml	605	s'étend	en même temps			
1965-SDAURP_CE_Oct23_GP.xml	605	ces axes nouveaux				
1965-SDAURP_CE_Oct23_GP.xml	606	demeurent libres	pour le moment	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	607	ces extensions "linéaires"				
1965-SDAURP_CE_Oct23_GP.xml	607	la fin du développement en tache d'huile				
1965-SDAURP_CE_Oct23_GP.xml	607	les extensions linéaires				
1965-SDAURP_CE_Oct23_GP.xml	607	veut construire				
1965-SDAURP_CE_Oct23_GP.xml	607	deux ou trois zones déjà construites	déjà	pas		
1965-SDAURP_CE_Oct23_GP.xml	607	équipées en réseaux d'eau, d'assainissement et d'électricité				
1965-SDAURP_CE_Oct23_GP.xml	608	le rythme de construction à soutenir	pendant de nombreuses années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	617	demeurer en l'état				
1965-SDAURP_CE_Oct23_GP.xml	617	n'est guère possible de conserver longtemps des terres agricoles presqu'enclavées dans la ville	longtemps			dur
1965-SDAURP_CE_Oct23_GP.xml	647	50.000 logements à détruire	en 1965	futur	oui	
1965-SDAURP_CE_Oct23_GP.xml	649	90 opérations d'importance fort variable étaient en cours	au 1er janvier 1965		oui	
1965-SDAURP_CE_Oct23_GP.xml	651	sont détruits	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	651	sont construits	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	651	ces opérations de rénovation				
1965-SDAURP_CE_Oct23_GP.xml	663	Un doublement de cette cadence	au terme des cinq années à venir	fut		
1965-SDAURP_CE_Oct23_GP.xml	667	réserver en temps voulu les parcelles de terrains	en temps voulu			
1965-SDAURP_CE_Oct23_GP.xml	667	la réalisation ultérieure de ces équipements	ultérieure	fut		
1965-SDAURP_CE_Oct23_GP.xml	705	Les grands ensembles construits	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	705	ont submergé les environs, boisés ou cultivés	au cours des années qui ont suivi la première guerre mondiale	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	707	ont été - à raison de 20 logements à l'hectare en moyenne - couverts de pavillons	En dix années environ	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	714	la zone construite	à l'époque	pas		
1965-SDAURP_CE_Oct23_GP.xml	714	subsistaient				
1965-SDAURP_CE_Oct23_GP.xml	727	GROUPES DE LOGEMENTS CONSTRUITS	DE 1939 A 1964	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	730	GROUPES DE LOGEMENTS CONSTRUITS	DE 1939 A 1964	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	759	s'implantent	encore trop souvent	pres		
1965-SDAURP_CE_Oct23_GP.xml	769	une stagnation	de plusieurs décennies	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	769	a fait démarrer de grands travaux d'équipement public	dès 1960	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	785	IMPLANTATION RÉCENTE D'ACTIVITÉS ET DE GRANDS ÉQUIPEMENTS	RÉCENTE	pas		
1965-SDAURP_CE_Oct23_GP.xml	786	IMPLANTATION RÉCENTE D'ACTIVITÉS ET DE GRANDS ÉQUIPEMENTS	RÉCENTE	pas		
1965-SDAURP_CE_Oct23_GP.xml	795	sont à localiser	chaque année	fut		iter
1965-SDAURP_CE_Oct23_GP.xml	795	plus de 1.200.000 logements en dix ans, soit l'équivalent d'une autre ville de Paris à construire	en dix ans	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	799	la croissance inéluctable				
1965-SDAURP_CE_Oct23_GP.xml	799	une agglomération, demain plus grande				
1965-SDAURP_CE_Oct23_GP.xml	807	ses extensions	à venir	fut		
1965-SDAURP_CE_Oct23_GP.xml	807	les espaces construits				
1965-SDAURP_CE_Oct23_GP.xml	807	va devenir				
1965-SDAURP_CE_Oct23_GP.xml	816	L'urbanisme pratiqué	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	818	les grands ensembles récents				
1965-SDAURP_CE_Oct23_GP.xml	830	s'accroît	tous les trois ans			iter
1965-SDAURP_CE_Oct23_GP.xml	833	l'enceinte dite des Fermiers Généraux construite	peu avant la Révolution	pas		
1965-SDAURP_CE_Oct23_GP.xml	833	fit annexer	1860	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	833	devenus les arrondissements qui portent les numéros XII à XX				
1965-SDAURP_CE_Oct23_GP.xml	842	Une amélioration radicale des transports				
1965-SDAURP_CE_Oct23_GP.xml	842	des progrès	il y a un demi-siècle	pas		
1965-SDAURP_CE_Oct23_GP.xml	842	une telle amélioration				
1965-SDAURP_CE_Oct23_GP.xml	854	120.000 logements à construire	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	854	seraient localisés				
1965-SDAURP_CE_Oct23_GP.xml	879	pourront se situer				
1965-SDAURP_CE_Oct23_GP.xml	879	ne peuvent plus, faute de place, être localisés	aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	926	certaines villes nouvelles				
1965-SDAURP_CE_Oct23_GP.xml	926	leur construction	plus tard	fut		
1965-SDAURP_CE_Oct23_GP.xml	931	80.000 à 100.000 logements construits	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	931	étaient localisés				
1965-SDAURP_CE_Oct23_GP.xml	931	être dispersés				
1965-SDAURP_CE_Oct23_GP.xml	931	formeraient chaque année une ville de plus de 300.000 habitants, aussi grande que Toulouse et son agglomération	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	944	a été entrepris récemment une opération de rénovation totale	récemment	pas		
1965-SDAURP_CE_Oct23_GP.xml	951	se sont créés	depuis le fond de l'histoire de Paris jusqu'à aujourd'hui	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	951	ont littéralement "formé" l'agglomération				
1965-SDAURP_CE_Oct23_GP.xml	951	donnant la forme qui apparaît sur la carte				
1965-SDAURP_CE_Oct23_GP.xml	951	axes d'urbanisation				
1965-SDAURP_CE_Oct23_GP.xml	953	axes de transport nouveaux				
1965-SDAURP_CE_Oct23_GP.xml	953	centres urbains nouveaux				
1965-SDAURP_CE_Oct23_GP.xml	953	se construiront	dans les prochaines années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	953	axes de transport nouveaux				
1965-SDAURP_CE_Oct23_GP.xml	953	villes nouvelles				
1965-SDAURP_CE_Oct23_GP.xml	954	implantation des villes nouvelles				
1965-SDAURP_CE_Oct23_GP.xml	954	l'urbanisation	à venir	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	963	la croissance passée	passée	pas		
1965-SDAURP_CE_Oct23_GP.xml	963	serait encore élargie				
1965-SDAURP_CE_Oct23_GP.xml	983	un grand dynamisme	depuis quelques années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	983	recueillir les activités desserrées de l'agglomération parisienne				
1965-SDAURP_CE_Oct23_GP.xml	986	va sans cesse se rapprocher	sans cesse	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	986	leur croissance				
1965-SDAURP_CE_Oct23_GP.xml	986	leur extension rapide				
1965-SDAURP_CE_Oct23_GP.xml	993	urbanisation				
1965-SDAURP_CE_Oct23_GP.xml	993	la ville nouvelle				
1965-SDAURP_CE_Oct23_GP.xml	993	pousser des pédoncules				
1965-SDAURP_CE_Oct23_GP.xml	993	se rejoindraient	à terme	fut		
1965-SDAURP_CE_Oct23_GP.xml	1000	Les new-towns réalisées	peu après 1950	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	1019	les désirs d'agrandissement				
1965-SDAURP_CE_Oct23_GP.xml	1019	fera "exploser" spatialement				
1965-SDAURP_CE_Oct23_GP.xml	1019	un phénomène qui s'accomplira	en plusieurs années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	1030	se matérialiser				
1965-SDAURP_CE_Oct23_GP.xml	1030	le dessin des zones				
1965-SDAURP_CE_Oct23_GP.xml	1030	seront urbanisées	au cours des décennies à venir	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	1040	aient été créées	dès l'origine	pas		
1965-SDAURP_CE_Oct23_GP.xml	1061	ont été réalisées	les plus récentes	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1075	puisse enfin disposer de liaisons comparables				
1965-SDAURP_CE_Oct23_GP.xml	1075	a doté Paris intra-muros	il y a un siècle	pas		
1965-SDAURP_CE_Oct23_GP.xml	1075	l'agglomération de demain	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	1091	le maintien de son unité				
1965-SDAURP_CE_Oct23_GP.xml	1091	n'a cessé de grandir				
1965-SDAURP_CE_Oct23_GP.xml	1091	l'extension de la ville	maintenant	pres		
1965-SDAURP_CE_Oct23_GP.xml	1126	reformeront chaque jour, chaque semaine, et la trame et la chaîne	chaque semaine			iter
1965-SDAURP_CE_Oct23_GP.xml	1126	une image vivante et constamment renouvelée	constamment			iter
1965-SDAURP_CE_Oct23_GP.xml	1130	l'extension de ses transports				
1965-SDAURP_CE_Oct23_GP.xml	1130	se forme	quotidiennement	pres		iter
1965-SDAURP_CE_Oct23_GP.xml	1159	les développements	à venir	fut		
1965-SDAURP_CE_Oct23_GP.xml	1165	le futur aéroport Nord	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	1190	la mise en service complète	pour 1970	fut	oui	
1965-SDAURP_CE_Oct23_GP.xml	1192	axe d'urbanisation				
1965-SDAURP_CE_Oct23_GP.xml	1192	gâcher				
1965-SDAURP_CE_Oct23_GP.xml	1192	la poussée des constructions	jusqu'à une époque récente	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1209	un développement linéaire de centres intermédiaires				
1965-SDAURP_CE_Oct23_GP.xml	1209	futur aéroport Nord				
1965-SDAURP_CE_Oct23_GP.xml	1218	la poussée de l'agglomération présente				
1965-SDAURP_CE_Oct23_GP.xml	1218	la zone actuellement construite	actuellement	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1218	aucune création artificielle de ville nouvelle				
1965-SDAURP_CE_Oct23_GP.xml	1218	ville nouvelle				
1965-SDAURP_CE_Oct23_GP.xml	1218	cette poussée naturelle				
1965-SDAURP_CE_Oct23_GP.xml	1220	soit mis fin au recul, jusqu'à présent constant, des espaces libres				
1965-SDAURP_CE_Oct23_GP.xml	1220	peuvent être conservés	aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	1220	les développements prévus				
1965-SDAURP_CE_Oct23_GP.xml	1220	limiter				
1965-SDAURP_CE_Oct23_GP.xml	1220	cerner				
1965-SDAURP_CE_Oct23_GP.xml	1220	réduire				
1965-SDAURP_CE_Oct23_GP.xml	1220	îlots de verdure sans cesse grignotés	sans cesse			dur
1965-SDAURP_CE_Oct23_GP.xml	1249	Cette industrialisation	date du xixe siècle	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	1249	s'étant localisées				
1965-SDAURP_CE_Oct23_GP.xml	1250	se transforment	Aujourd'hui	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1250	se substituant aux unités de production				
1965-SDAURP_CE_Oct23_GP.xml	1253	se développent				
1965-SDAURP_CE_Oct23_GP.xml	1253	de vastes lotissements créés	entre les deux guerres	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1254	attend sa réalisation	depuis près de quarante ans	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1254	des ensembles de construction récents				
