Nom_fichier	Numéro_Phrase	Dynamique	Cause	Res	Obj
2022-Boutté_CE_Oct23.xml	793	la réversibilité	des invariants morphologiques, compositionnels et constructifs précis à l’échelle des îlots et des immeubles	none	none
2022-Boutté_CE_Oct23.xml	794	les opérations de construction et d’aménagement	none	none	none
2022-Boutté_CE_Oct23.xml	816	concevoir la ville « sous contraintes »	none	la ville « sous contraintes »	none
2022-Boutté_CE_Oct23.xml	816	de nouvelles trajectoires urbaines	none	la ville « sous contraintes »	none
2022-Boutté_CE_Oct23.xml	860	restauration des cours d’eau, des piémonts et des ressources hybrides	none	none	afin de valoriser une pluviométrie à la fois brève et intense
2022-Boutté_CE_Oct23.xml	868	un projet collectif et responsable de construction d’un territoire comme bien commun partagé	none	un territoire comme bien commun partagé	none
2022-Boutté_CE_Oct23.xml	878	un projet collectif et responsable de construction d’un territoire comme bien commun partagé	none	un territoire comme bien commun partagé	none
2022-Boutté_CE_Oct23.xml	884	L’équilibre écologique des territoires	none	la ville nouvelle de Neom	none
2022-Boutté_CE_Oct23.xml	884	part inconstructible des territoires	none	none	none
2022-Boutté_CE_Oct23.xml	884	implantation des constructions et des activités humaines	none	la ville nouvelle de Neom	none
2022-Boutté_CE_Oct23.xml	884	la création de la ville nouvelle de Neom	none	la ville nouvelle de Neom	none
2022-Boutté_CE_Oct23.xml	884	le contre-projet imaginé	none	none	none
2022-Boutté_CE_Oct23.xml	884	une trame inconstructible	none	la ville nouvelle de Neom	none
2022-Boutté_CE_Oct23.xml	891	installer ici une ville nouvelle	none	une ville nouvelle	none
2022-Boutté_CE_Oct23.xml	894	l’installation d’activités humaines	none	activités humaines	none
2022-Boutté_CE_Oct23.xml	894	en préservant et en rehaussant la valeur écologique des écosystèmes naturels	none	none	none
2022-Boutté_CE_Oct23.xml	919	peut être améliorée	l’évolution des pratiques professionnelles des acteurs de la fabrique de la ville	none	none
2022-Boutté_CE_Oct23.xml	919	la fabrique de la ville	none	none	none
2022-Boutté_CE_Oct23.xml	919	doivent être résorbés	none	none	none
2022-Boutté_CE_Oct23.xml	919	sa transformation	none	none	none
2022-Boutté_CE_Oct23.xml	923	Transformer les sols	none	none	pour végétaliser la rue
2022-Boutté_CE_Oct23.xml	923	végétaliser la rue	none	none	none
2022-Boutté_CE_Oct23.xml	923	transformer les bâtiments	none	none	pour rafraîchir la ville
2022-Boutté_CE_Oct23.xml	923	rafraîchir la ville	none	none	none
2022-Boutté_CE_Oct23.xml	923	transformer les rues ordinaires en rues communes apaisées, écologiques, désirables	none	en rues communes apaisées, écologiques, désirables	pour adapter la ville aux enjeux du xxie siècle
2022-Boutté_CE_Oct23.xml	923	adapter la ville aux enjeux du xxie siècle	none	none	none
2022-Boutté_CE_Oct23.xml	924	transformer les rues métropolitaines ordinaires	none	none	pour faire la ville durable et désirable du xxie siècle
2022-Boutté_CE_Oct23.xml	924	faire la ville durable et désirable du xxie siècle	none	none	none
2022-Boutté_CE_Oct23.xml	925	fabriquer la ville post-Covid, post-voiture et post-carbone	none	la ville post-Covid, post-voiture et post-carbone	none
1965-SDAURP_CE_Oct23_GP.xml	20	vinrent suspendre pendant plus de dix années toute possibilité de réalisation notable en matière d'urbanisme	La guerre et la période de pénurie de l'immédiate après-guerre	none	none
1965-SDAURP_CE_Oct23_GP.xml	77	Préparer la région de Paris à son avenir	none	c'est y mettre en valeur une beauté ancienne, y créer une beauté nouvelle, que le Parisien comme le visiteur du pays le plus lointain puisse aimer	none
1965-SDAURP_CE_Oct23_GP.xml	77	son aménagement	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	103	avaient triplé	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	103	ce triplement parisien	était dû surtout à l'immigration	none	none
1965-SDAURP_CE_Oct23_GP.xml	108	cet accroissement de la région de Paris	none	la fin de la décentralisation entreprise	none
1965-SDAURP_CE_Oct23_GP.xml	108	la fin de la décentralisation entreprise	cet accroissement de la région de Paris	none	none
1965-SDAURP_CE_Oct23_GP.xml	129	un doublement en superficie d'un tissu urbain analogue à celui d'aujourd'hui	Ce doublement de population des agglomérations	none	none
1965-SDAURP_CE_Oct23_GP.xml	202	le développement parisien	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	202	peuvent décharger l'agglomération de Paris	ces villes	none	none
1965-SDAURP_CE_Oct23_GP.xml	273	la croissance spontanée d'autres villes dynamiques	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	273	autres villes dynamiques	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	273	une action concentrée	none	none	pour contenir l'inéluctable accroissement de la région de Paris
1965-SDAURP_CE_Oct23_GP.xml	273	accroissement de la région de Paris	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	279	l'aménagement de la région parisienne	none	none	Paris, 14 millions d'habitants aux environs de l'an 2000
1965-SDAURP_CE_Oct23_GP.xml	279	prévoir une région de Paris	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	313	les usines et les bureaux construits	none	les bureaux	none
1965-SDAURP_CE_Oct23_GP.xml	314	bâtiments construits	none	bâtiments	none
1965-SDAURP_CE_Oct23_GP.xml	314	existent encore	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	314	devraient être systématiquement détruits	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	338	seront construits	none	un quart des logements	selon les normes nouvelles
1965-SDAURP_CE_Oct23_GP.xml	338	remplaceront une partie des équipements actuellement existants	none	les équipements	none
1965-SDAURP_CE_Oct23_GP.xml	338	la démolition	la vétusté	none	none
1965-SDAURP_CE_Oct23_GP.xml	338	seraient reconstruits	none	un quart des logements	selon les normes nouvelles
1965-SDAURP_CE_Oct23_GP.xml	338	les installations et les bâtiments de remplacement	none	les équipements	none
1965-SDAURP_CE_Oct23_GP.xml	345	leur extension	none	jouer un rôle de métropole d'équilibre à l'égard de Paris	none
1965-SDAURP_CE_Oct23_GP.xml	355	l'évolution urbaine	none	none	une mégalopole mécanisée, standardisée et parfaitement déshumanisée
1965-SDAURP_CE_Oct23_GP.xml	395	leur implantation	none	peut changer du tout au tout la valeur des services qu'ils rendront	none
1965-SDAURP_CE_Oct23_GP.xml	400	l'implantation des logements, des ateliers, des bureaux, des services publics, des transports	none	transports	none
1965-SDAURP_CE_Oct23_GP.xml	407	l'aménagement	none	none	quelles orientations déterminantes
1965-SDAURP_CE_Oct23_GP.xml	407	l'équipement	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	410	zones construites	none	zones	les orientations majeures
1965-SDAURP_CE_Oct23_GP.xml	435	la réalisation des grands ouvrages et des programmes d’équipement	none	programmes d’équipement	none
1965-SDAURP_CE_Oct23_GP.xml	435	l'avenir de l'agglomération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	438	implanteront les équipements	none	les équipements	les grandes orientations
1965-SDAURP_CE_Oct23_GP.xml	440	l'avenir de l'agglomération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	440	réalisation des grands équipements d'infrastructure, particulièrement de voies ferrées et d'autoroutes	none	voies ferrées et d'autoroutes	none
1965-SDAURP_CE_Oct23_GP.xml	448	La réalisation effective d'une région urbaine	none	une région urbaine	none
1965-SDAURP_CE_Oct23_GP.xml	452	les poussées de la ville	les chemins de fer	none	none
1965-SDAURP_CE_Oct23_GP.xml	454	des projets réellement élaborés	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	454	le destin d'une ville	les investissements d'infrastructure	none	none
1965-SDAURP_CE_Oct23_GP.xml	478	Tracer le schéma directeur du Paris de demain	none	none	prévoir à la fois l'adaptation aux besoins de demain de l'agglomération parisienne d'aujourd'hui et les extensions en surface de cette agglomération
1965-SDAURP_CE_Oct23_GP.xml	478	n'est pas dessiner un Brasilia français	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	478	les extensions en surface de cette agglomération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	479	cet agrandissement d'une trame urbaine	none	none	des principes
1965-SDAURP_CE_Oct23_GP.xml	479	ont déjà étendue	vingt siècles d'histoire	none	none
1965-SDAURP_CE_Oct23_GP.xml	479	la croissance d'une ville	none	none	des principes
1965-SDAURP_CE_Oct23_GP.xml	479	successivement franchies	vingt siècles d'histoire	none	none
1965-SDAURP_CE_Oct23_GP.xml	479	a toujours grandi	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	482	faire mourir Paris	none	afin de mieux le faire revivre	none
1965-SDAURP_CE_Oct23_GP.xml	482	le faire revivre	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	485	l'organisation de la région de Paris dans son ensemble	none	none	les principes d'aménagement
1965-SDAURP_CE_Oct23_GP.xml	485	la croissance de l'agglomération	none	none	les principes d'aménagement
1965-SDAURP_CE_Oct23_GP.xml	505	les zones construites	none	les zones	none
1965-SDAURP_CE_Oct23_GP.xml	507	a dévoré le petit département de la Seine	none	la banlieue	none
1965-SDAURP_CE_Oct23_GP.xml	507	a mangé le curieux anneau circulaire de Seine-et-Oise	none	la banlieue	none
1965-SDAURP_CE_Oct23_GP.xml	507	a même mordu sur la Seine-et-Marne	none	la banlieue	none
1965-SDAURP_CE_Oct23_GP.xml	507	en formeront huit	none	huit	none
1965-SDAURP_CE_Oct23_GP.xml	571	ont été construits	none	750.000 logements	none
1965-SDAURP_CE_Oct23_GP.xml	573	construits	none	près de 10 millions de m2 de locaux industriels et de bureaux	none
1965-SDAURP_CE_Oct23_GP.xml	575	Les constructions n'ont en effet repris	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	575	13.000 logements terminés	none	13.000 logements	none
1965-SDAURP_CE_Oct23_GP.xml	576	750.000 logements terminés	none	750.000 logements	none
1965-SDAURP_CE_Oct23_GP.xml	576	plus de 200.000 logements en cours de construction	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	577	aura construit, depuis 1953, plus d'un million de logements	none	plus d'un million de logements	none
1965-SDAURP_CE_Oct23_GP.xml	578	aura bâti un autre Paris	none	un autre Paris	none
1965-SDAURP_CE_Oct23_GP.xml	602	Les constructions réalisées	none	Les constructions	none
1965-SDAURP_CE_Oct23_GP.xml	602	ont fait disparaître beaucoup des espaces libres qui existaient	Les constructions réalisées depuis la guerre	none	none
1965-SDAURP_CE_Oct23_GP.xml	604	la croissance passée de l'agglomération de Paris	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	604	plusieurs étapes	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	604	des extensions linéaires	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	604	la construction des voies ferrées	none	voies ferrées	none
1965-SDAURP_CE_Oct23_GP.xml	604	le comblement des espaces interstitiels	la multiplication des moyens de transport (bicyclette, autobus, voiture) rabattant sur ces gares ou donnant la liaison directe avec Paris	none	none
1965-SDAURP_CE_Oct23_GP.xml	605	se construisent	none	les intervalles anciens	none
1965-SDAURP_CE_Oct23_GP.xml	605	s'étend	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	605	ces axes nouveaux	none	ces axes	none
1965-SDAURP_CE_Oct23_GP.xml	607	ces extensions "linéaires"	none	la fin du développement en tache d'huile	none
1965-SDAURP_CE_Oct23_GP.xml	607	la fin du développement en tache d'huile	ces extensions "linéaires"	none	none
1965-SDAURP_CE_Oct23_GP.xml	607	les extensions linéaires	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	607	veut construire	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	607	deux ou trois zones déjà construites	none	deux ou trois zones	none
1965-SDAURP_CE_Oct23_GP.xml	607	équipées en réseaux d'eau, d'assainissement et d'électricité	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	610	seraient rapidement construits	none	Les espaces actuellement libres	none
1965-SDAURP_CE_Oct23_GP.xml	610	un nouvel anneau continu de constructions	none	anneau continu de constructions	none
1965-SDAURP_CE_Oct23_GP.xml	610	viendrait enserrer et enfermer Paris et sa banlieue	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	614	les espaces libres disparus	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	614	ont été presqu'exclusivement édifiés	none	des logements	none
1965-SDAURP_CE_Oct23_GP.xml	618	être aménagés	none	en espaces verts - forêts ou parcs de loisirs	none
1965-SDAURP_CE_Oct23_GP.xml	618	recevoir des stades, des lycées, des facultés, des hôpitaux, des zones d'emploi assez vastes	none	des zones d'emploi assez vastes	none
1965-SDAURP_CE_Oct23_GP.xml	618	ont été construits	none	aux ensembles	none
1965-SDAURP_CE_Oct23_GP.xml	619	la construction de logements	none	logements	none
1965-SDAURP_CE_Oct23_GP.xml	619	l'aménagement des 5.000 hectares de Z.U.P.	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	619	eut été préférable de bâtir	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	619	des zones d'extension	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	635	leur implantation	none	L'insuffisance des emplois	none
1965-SDAURP_CE_Oct23_GP.xml	638	la congestion du centre	L'insuffisance des équipements et des emplois dans la banlieue	none	none
1965-SDAURP_CE_Oct23_GP.xml	638	sont demeurés concentrés	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	650	la destruction de 36.000 logements anciens	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	650	à remplacer	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	650	55.000 logements nouveaux	none	55.000 logements	none
1965-SDAURP_CE_Oct23_GP.xml	651	sont détruits	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	651	sont construits	none	6.000 à 8.000 logements	none
1965-SDAURP_CE_Oct23_GP.xml	651	ces opérations de rénovation	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	665	L'opération la plus répandue	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	665	la substitution à quelques maisons particulières de quelques dizaines d'appartements	none	quelques dizaines d'appartements	none
1965-SDAURP_CE_Oct23_GP.xml	666	densification	none	aucun accroissement des équipements généraux (eau, gaz, électricité, égouts, voirie)	none
1965-SDAURP_CE_Oct23_GP.xml	666	aucun accroissement des équipements généraux (eau, gaz, électricité, égouts, voirie)	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	666	la saturation de ces équipements	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	667	réserver en temps voulu les parcelles de terrains	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	667	la réalisation ultérieure de ces équipements	none	ces équipements	none
1965-SDAURP_CE_Oct23_GP.xml	669	l'opération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	669	la substitution de logements modernes	none	logements modernes	none
1965-SDAURP_CE_Oct23_GP.xml	670	la mise en place des équipements absents - écoles, centres médicaux et sociaux, commerces, terrains de jeux	none	terrains de jeux	none
1965-SDAURP_CE_Oct23_GP.xml	672	les opérations de rénovation	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	672	peuvent être conçues pour combler les lacunes et les retards de l'urbanisme	none	none	pour combler les lacunes et les retards de l'urbanisme
1965-SDAURP_CE_Oct23_GP.xml	672	une opération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	673	Les opérations de ce type	none	il faut reloger les habitants, les commerces, les artisans, les ateliers, voire les usines	none
1965-SDAURP_CE_Oct23_GP.xml	673	leur multiplication	none	il faut reloger les habitants, les commerces, les artisans, les ateliers, voire les usines	none
1965-SDAURP_CE_Oct23_GP.xml	676	la modernisation d'immeubles anciens	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	676	ces opérations	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	676	des immeubles réhabilités	none	des immeubles	none
1965-SDAURP_CE_Oct23_GP.xml	676	l'opération	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	676	une rénovation	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	681	dévore les espaces libres	none	l'habitat	none
1965-SDAURP_CE_Oct23_GP.xml	681	centre de plus en plus congestionné	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	681	ne se rénovent qu'avec trop de lenteur	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	683	dynamismes non prévus	none	none	none
1965-SDAURP_CE_Oct23_GP.xml	683	allaient transformer les villes	ces progrès	none	none
1965-SDAURP_CE_Oct23_GP.xml	686	l'extension	none	none	des orientations précises
1965-SDAURP_CE_Oct23_GP.xml	686	des réserves de terrains	none	les équipements	des orientations précises
1965-SDAURP_CE_Oct23_GP.xml	686	une bonne composition des "creux" et des "pleins"	none	none	none
